Index,Lever position (lp)_12,Ship speed (v) [knots]_12,Gas Turbine (GT) shaft torque (GTT) [kN m]_12,GT rate of revolutions (GTn) [rpm]_12,Gas Generator rate of revolutions (GGn) [rpm]_12,Starboard Propeller Torque (Ts) [kN]_12,Port Propeller Torque (Tp) [kN]_12,Hight Pressure (HP) Turbine exit temperature (T48) [C]_12,GT Compressor inlet air temperature (T1) [C]_12,GT Compressor outlet air temperature (T2) [C]_12,HP Turbine exit pressure (P48) [bar]_12,GT Compressor inlet air pressure (P1) [bar]_12,GT Compressor outlet air pressure (P2) [bar]_12,GT exhaust gas pressure (Pexh) [bar]_12,Turbine Injecton Control (TIC) [%]_12,Fuel flow (mf) [kg/s]_12,GT Compressor decay state coefficient_12,GT Turbine decay state coefficient_12
4,4.161,12,14724.395,1547.465,7792.63,113.774,113.774,661.471,288,613.851,1.658,0.998,9.007,1.022,18.109,0.358,0.95,0.975
13,4.161,12,14724.544,1547.466,7794.646,113.795,113.795,660.568,288,613.688,1.657,0.998,8.998,1.022,18.066,0.358,0.95,0.976
22,4.161,12,14724.616,1547.466,7796.657,113.801,113.801,659.666,288,613.524,1.657,0.998,8.989,1.022,18.023,0.357,0.95,0.977
31,4.161,12,14724.731,1547.467,7798.673,113.797,113.797,658.766,288,613.361,1.657,0.998,8.98,1.022,17.98,0.356,0.95,0.978
40,4.161,12,14724.795,1547.468,7800.688,113.791,113.791,657.869,288,613.198,1.657,0.998,8.971,1.022,17.937,0.355,0.95,0.979
49,4.161,12,14724.872,1547.468,7802.704,113.798,113.798,656.974,288,613.035,1.656,0.998,8.962,1.022,17.894,0.354,0.95,0.98
58,4.161,12,14724.969,1547.469,7804.726,113.802,113.802,656.081,288,612.872,1.656,0.998,8.953,1.022,17.852,0.353,0.95,0.981
67,4.161,12,14725.068,1547.47,7806.748,113.794,113.794,655.19,288,612.71,1.656,0.998,8.943,1.022,17.809,0.353,0.95,0.982
76,4.161,12,14725.087,1547.47,7808.765,113.802,113.802,654.301,288,612.548,1.656,0.998,8.934,1.022,17.767,0.352,0.95,0.983
85,4.161,12,14725.17,1547.471,7810.79,113.792,113.792,653.415,288,612.387,1.656,0.998,8.925,1.022,17.724,0.351,0.95,0.984
94,4.161,12,14725.326,1547.471,7812.823,113.806,113.806,652.531,288,612.226,1.655,0.998,8.916,1.022,17.682,0.35,0.95,0.985
103,4.161,12,14725.397,1547.472,7814.85,113.784,113.784,651.649,288,612.065,1.655,0.998,8.907,1.022,17.64,0.349,0.95,0.986
112,4.161,12,14725.441,1547.473,7816.877,113.809,113.809,650.769,288,611.904,1.655,0.998,8.898,1.022,17.598,0.348,0.95,0.987
121,4.161,12,14725.555,1547.473,7818.911,113.809,113.809,649.892,288,611.744,1.655,0.998,8.889,1.022,17.556,0.348,0.95,0.988
130,4.161,12,14725.621,1547.474,7820.943,113.813,113.813,649.017,288,611.584,1.655,0.998,8.881,1.022,17.514,0.347,0.95,0.989
