Index,Lever position (lp)_27,Ship speed (v) [knots]_27,Gas Turbine (GT) shaft torque (GTT) [kN m]_27,GT rate of revolutions (GTn) [rpm]_27,Gas Generator rate of revolutions (GGn) [rpm]_27,Starboard Propeller Torque (Ts) [kN]_27,Port Propeller Torque (Tp) [kN]_27,Hight Pressure (HP) Turbine exit temperature (T48) [C]_27,GT Compressor inlet air temperature (T1) [C]_27,GT Compressor outlet air temperature (T2) [C]_27,HP Turbine exit pressure (P48) [bar]_27,GT Compressor inlet air pressure (P1) [bar]_27,GT Compressor outlet air pressure (P2) [bar]_27,GT exhaust gas pressure (Pexh) [bar]_27,Turbine Injecton Control (TIC) [%]_27,Fuel flow (mf) [kg/s]_27,GT Compressor decay state coefficient_27,GT Turbine decay state coefficient_27
9,9.3,27,72763.329,3560.395,9778.528,644.905,644.905,1115.797,288,789.094,4.498,0.998,22.811,1.049,92.556,1.832,0.95,0.975
18,9.3,27,72763.515,3560.401,9779.311,644.963,644.963,1114.887,288,788.949,4.496,0.998,22.784,1.049,92.448,1.83,0.95,0.976
27,9.3,27,72764.565,3560.403,9780.103,645.076,645.076,1113.985,288,788.806,4.495,0.998,22.756,1.049,92.342,1.828,0.95,0.977
36,9.3,27,72765.436,3560.405,9780.887,645.04,645.04,1113.084,288,788.664,4.494,0.998,22.729,1.049,92.235,1.826,0.95,0.978
45,9.3,27,72766.645,3560.405,9781.672,644.879,644.879,1112.188,288,788.523,4.493,0.998,22.701,1.049,92.129,1.824,0.95,0.979
54,9.3,27,72767.018,3560.412,9782.442,644.844,644.844,1111.29,288,788.382,4.492,0.998,22.674,1.049,92.023,1.822,0.95,0.98
63,9.3,27,72767.717,3560.417,9783.213,644.801,644.801,1110.396,288,788.242,4.49,0.998,22.647,1.049,91.917,1.82,0.95,0.981
72,9.3,27,72768.206,3560.423,9783.976,644.965,644.965,1109.503,288,788.103,4.489,0.998,22.619,1.049,91.811,1.817,0.95,0.982
81,9.3,27,72768.423,3560.431,9784.732,645.029,645.029,1108.612,288,787.964,4.488,0.998,22.592,1.049,91.705,1.815,0.95,0.983
90,9.3,27,72770.382,3560.421,9785.504,644.892,644.892,1107.732,288,787.827,4.487,0.998,22.565,1.049,91.601,1.813,0.95,0.984
99,9.3,27,72771.461,3560.421,9786.262,644.815,644.815,1106.85,288,787.691,4.485,0.998,22.538,1.049,91.496,1.811,0.95,0.985
